管理番号,管轄会社,優先,都道府県名,（採）拠点,求人No.,企業名,形態,募集人数,職種,勤務地,資格,勤務時間,休日,時給/日給,月収目安,月収例内訳,年収目安,シフト,最寄り駅,通勤手段,交通費,寮費,寮形態,年齢,性別,TT（50057-01ダイハツ九州以外和彫り不可）,色弱,カップル,外国籍,サイズ制限,案件備考,紹介料,特約事項（定着）,備考（紹介料）,面接〆切,赴任日,入社日,選考にかかる日数,最終紹介日⇒入社日,勤務地市町村
os11,OS,,北海道,(採)札幌,951459,釜屋電機　奈井江工場,派遣,0名,ゲーム機や携帯電話に使われているチップ抵抗器の製造や検査業務,北海道空知郡奈井江町字奈井江955-1,"【必要資格】 ・車所持者のみ 【契約期間】 ・2ヶ月更新 【試用期間】 ・2週間( 1,310円／時) 【就業場所における受動喫煙防止措置】 ・屋内禁煙（喫煙室あり）",①20:00～04:45　休憩45分 ②08:30～17:15　休憩45分,土日祝,"1,310円/時",27万円程度,勤務/21日 残業/10H 深夜/60H 休出/0H,324万円程度,2交替,奈井江駅,車、徒歩,上限3万円迄/月,"企業寮：無料 水道光熱費及び管理費込 5,000円/月",集合寮,45歳迄,男女可 ※女性は通勤できる方のみ,不可,不可,不可,不可,4L迄,-,15万円,20日間在籍　100％ 10日以上20日未満在籍　50％ 入社～10日未満在籍　支払なし,,随時,随時,OSでの面接～入社まで 約10日～15日,4～5日程度,随時問い合わせ,北海道 空知郡奈井江町
os12,OS,,北海道,(採)札幌,951490,釜屋電機（事務）,派遣,0名,一般事務及びデータ入力に関する付随業務,北海道空知郡奈井江町字奈井江955-1,"【必要資格】 ・特になし 【契約期間】 ・3ヶ月更新 【試用期間】 ・2週間( 1,310円／時) 【就業場所における受動喫煙防止措置】 ・屋内禁煙（喫煙室あり）",08:30～17:15　休憩60分,土日祝,"1,310円/時",22.8万円程度,勤務/21日 残業/5h 深夜/0h 休出/0h,274万円程度,日勤,奈井江駅,車 駅から車で6分程,上限3万円迄/月,-,寮対応無,43歳迄,男性のみ,不可,可,不可,不可,4L迄,・車通勤可,15万円,20日間在籍　100％ 10日以上20日未満在籍　50％ 入社～10日未満在籍　支払なし,,随時,随時,OSでの面接～入社まで 約10日～15日,3～4日程度,随時問い合わせ,北海道 空知郡奈井江町
os13,OS,,北海道,(採)札幌,971182,北海道LIXIL製作所　日勤専属,派遣,3名,住宅窓ガラス用樹脂サッシのカンタンな組立・梱包作業,北海道岩見沢市栗沢町由良15-7,"【必要資格】 ・特になし 【契約期間】 ・3ヶ月更新 【試用期間】 ・2週間( 1,180円／時) 【就業場所における受動喫煙防止措置】 ・全面禁煙",08:30～17:20　休憩60分,土日祝,"1,180円/時",22万円程度,勤務/20日 残業/15H 深夜/0H 休出/7.83H,264万円程度,日勤,岩見沢駅,車,上限3万円迄/月,実費,個室寮,50歳迄,男女可,(肘から上且つ半袖で隠れる範囲なら面接後の判断) ※面接時TT写真弊社採用担当に必ず送付※,不可,応相談 ※同シフト不可,不可,4L迄,車持ち込める方がのぞましい,15万円,20日間在籍　100％ 10日以上20日未満在籍　50％ 入社～10日未満在籍　支払なし,,随時,随時,OSでの面接～入社まで 約10日～15日,4～5日程度,随時問い合わせ,北海道 岩見沢市
os14,OS,,北海道,(採)札幌,1442710,北海道LIXIL製作所（札幌工場）　日勤専属,派遣,0名,住宅用の壁の製造,北海道北広島市北の里２?１,"【必要資格】 ・特になし 【契約期間】 ・3ヶ月更新 【試用期間】 ・2週間( 1,180円／時) 【就業場所における受動喫煙防止措置】 ・全面禁煙",08:30～17:20　休憩60分,土日祝,"1,180円/時",22万円程度,勤務/20日 残業/15H 深夜/0H 休出/7.83H,264万円程度,日勤,岩見沢駅,車,上限3万円迄/月,実費,個室寮,50歳以上は要相談,男女可,(肘から上且つ半袖で隠れる範囲なら面接後の判断) ※面接時TT写真弊社採用担当に必ず送付※,不可,応相談 ※同シフト不可,不可,4L迄,車持ち込める方がのぞましい,10万円,20日間在籍　100％ 10日以上20日未満在籍　50％ 入社～10日未満在籍　支払なし,,随時,随時,OSでの面接～入社まで 約10日～15日,4～5程度,随時問い合わせ,北海道 北広島市
os15,OS,,北海道,(採)札幌,971213,北海道LIXIL製作所　夜勤,派遣,1名,住宅窓ガラス用樹脂サッシのカンタンな組立・梱包作業,北海道岩見沢市栗沢町由良15-7,"【必要資格】 ・特になし 【契約期間】 ・3ヶ月更新 【試用期間】 ・2週間( 1,180円／時) 【就業場所における受動喫煙防止措置】 ・全面禁煙",20:30～翌05:20　休憩60分,シフト制,"1,180円/時",29.3万円程度,勤務/20日 残業/20h 深夜/120h 休出/7.83h,351万円程度,夜勤,岩見沢駅,車,上限3万円迄/月,実費,個室寮,50歳迄,男女可,不可,不可,不可,不可,4L迄,車必須　※また徒歩圏内,10万円,20日間在籍　100％ 10日以上20日未満在籍　50％ 入社～10日未満在籍　支払なし,,随時,随時,OSでの面接～入社まで 約10日～15日,随時,随時問い合わせ,北海道 岩見沢市
os16,OS,,北海道,(採)札幌,971241,北海道LIXIL製作所　押出課（長期）,派遣,0名,住宅窓ガラス用樹脂サッシの製造作業,北海道岩見沢市栗沢町由良15-7,"【必要資格】 ・特になし 【契約期間】 ・3ヶ月更新 【試用期間】 ・2週間( 1,280円／時) 【就業場所における受動喫煙防止措置】 ・全面禁煙",①00:00～08:45　休憩60分 ②08:30～17:20　休憩60分 ③17:05～00:15　休憩60分,企業カレンダーによる,"1,280円/時",24.4万円程度,勤務/22日 残業/10h 深夜/60h 休出/0h,293万円程度,3交替,岩見沢駅,車,上限3万円迄/月,実費,個室寮,50歳迄,男女可,不可,不可,不可,不可,4L迄,車必須　※また徒歩圏内,10万円,20日間在籍　100％ 10日以上20日未満在籍　50％ 入社～10日未満在籍　支払なし,,随時,随時,OSでの面接～入社まで 約10日～15日,随時,随時問い合わせ,北海道 岩見沢市
os17,OS,,北海道,(採)札幌,971425,北海道LIXIL製作所　押出課（短期）,派遣,0名,住宅窓ガラス用樹脂サッシの製造作業,北海道岩見沢市栗沢町由良15-7,"【必要資格】 ・特になし 【契約期間】 ・2024年4月末まで 【試用期間】 ・2週間( 1,700円／時) 【就業場所における受動喫煙防止措置】 ・全面禁煙",①00:00～08:45　休憩60分 ②08:30～17:20　休憩60分 ③17:05～00:15　休憩60分,企業カレンダーによる,"1,700円/時",34.7万円程度,勤務/22日 残業/10h 深夜/60h 休出/0h,2024年4月末までの短期案件,3交替,岩見沢駅,車,上限3万円迄/月,実費,個室寮,50歳迄,男女可,不可,不可,不可,不可,4L迄,・2024年4月末までの短期案件 車必須　※また徒歩圏内,10万円,20日間在籍　100％ 10日以上20日未満在籍　50％ 入社～10日未満在籍　支払なし,,随時,随時,OSでの面接～入社まで 約10日～15日,随時,随時問い合わせ,北海道 岩見沢市
os18,OS,,北海道,(採)札幌,997538,北海道センコー 北海道RDC,派遣,3名,大手スーパーの商品(メインは飲料品)を取り扱っている倉庫内にて、リーチフォーク業務(有資格者のみ) 最初は、作業に慣れて頂くためにパレッドに商品を積んだりと選別仕分け作業,北海道北広島市北の里3-27,"【必要資格】 ・男女可　・未経験35歳まで（経験者は55歳まで相談可能） ・フォークリフト資格必須 【契約期間】 ・3ヶ月更新 【試用期間】 ・1カ月( 1,250円／時) 【就業場所における受動喫煙防止措置】 ・屋内禁煙（喫煙室あり）",08:00～17:00　休憩60分 09:00～18:00　休憩60分,5勤2休 ※企業カレンダーによる,"1,250円/時",28万円程度,勤務/21日 残業/25H 深夜/0H 休出/8H,336万円程度,日勤,北広島駅,車 徒歩,上限3万円迄/月,-,寮対応無,・未経験35歳迄 ・経験者55歳迄（面接後判断）,男女可,不可,不可,不可,不可,5L迄,・フォークリフト資格必須 ・腰痛不可 ・色弱不可 ・タトゥー不可,15万円,20日間在籍　100％ 10日以上20日未満在籍　50％ 入社～10日未満在籍　支払なし,,随時,随時,OSでの面接～入社まで 約10日～15日,3～4日程度,随時問い合わせ,北海道 北広島市
os19,OS,,北海道,(採)札幌,10465-03,北海道センコー 札幌PDセンター,派遣,3名,倉庫内にてドリンクや雑貨等つまれたパレットをリーチフォークにて運搬する業務(有資格者のみ) 最初は、作業に慣れて頂くためにパレッドに商品を積んだりと選別仕分け作業,北海道札幌市東区苗穂町15丁目1-1,"【必要資格】 ・男女可（経験者は55歳まで相談可能） ・フォークリフト資格必須 【契約期間】 ・3ヶ月更新 【試用期間】 ・1カ月( 1,300円／時) 【就業場所における受動喫煙防止措置】 ・屋内禁煙（喫煙室あり）",09:00～18:00　休憩60分,5勤2休 ※企業カレンダーによる,"1,300円/時",30万円程度,勤務/21日 残業/20H 深夜/0H 休出/0H,350万円程度,日勤,苗穂駅,車 バス 徒歩,上限3万円迄/月,-,寮対応無,・経験者55歳（面接後判断）,男女可,不可,不可,不可,不可,5L迄,・フォークリフト資格必須 ・腰痛不可 ・色弱不可 ・タトゥー不可,15万円,20日間在籍　100％ 10日以上20日未満在籍　50％ 入社～10日未満在籍　支払なし,,随時,随時,OSでの面接～入社まで 約10日～15日,3～4日程度,随時問い合わせ,北海道 札幌市
os20,OS,,北海道,(採)札幌,1453392,東洋水産,派遣,10名,カップ麺等の製造(日勤),北海道小樽市銭函5丁目61-1,"【必要資格】 ・30歳代まで　※早出・残業できる方、極力車通勤できる方 【契約期間】 ・3ヶ月更新 【試用期間】 ・2週間( 1,200円／時) 【就業場所における受動喫煙防止措置】 ・屋内禁煙（喫煙室あり）",①08:00～17:00　休憩60分,基本土日祝 ※企業カレンダーによる,"1,200円/時",19.3万円程度,勤務/21日 残業/10Ｈ 深夜/0Ｈ　休出/0Ｈ,250万円程度,日勤,手稲駅,西区、北区、手稲区から工場までの送迎あり 地下鉄東西線(琴似駅、宮の沢駅)、地下鉄南北線(麻生駅)、地下鉄東豊線(栄町)、他送迎ルート上であれば、送迎可能,上限3万円迄/月,-,寮対応無,30代迄 ※早出・残業できる方、極力車通勤できる方,男女可,不可,不可,不可,不可,4L迄,・未経験者OK、車通勤可、送迎可 ■入社特典10万円あり　※8月入社限定 ※出勤率が各月95%以上、(1日付～月末までの在籍期間) 在籍確認の翌月給与で2万円支給×5か月,10万円,20日間在籍　100％ 10日以上20日未満在籍　50％ 入社～10日未満在籍　支払なし,,随時,随時,OSでの面接～入社まで 約10日～15日,4～5日程度,随時問い合わせ,北海道 小樽市
os21,OS,,北海道,(採)札幌,1453302,東洋水産（フォークリフト）,派遣,5名,冷蔵・冷凍食品の入出荷作業、フォークリフト作業,北海道小樽市銭函5丁目61-9,"【必要資格】 ・フォークリフト免許 【契約期間】 ・3ヶ月更新 【試用期間】 ・2週間( 1,300円／時) 【就業場所における受動喫煙防止措置】 ・屋内禁煙（喫煙室あり）",08:30～17:30　休憩60分,土日祝 ※企業カレンダーによる,"1,300円/時",22万円程度,勤務/21日 残業/30h 深夜/0h 休出/0h,244万円程度,日勤,JR麻生駅・JR手稲駅,車 駅から無料送迎バスあり,上限3万円迄/月,-,寮対応無,59歳迄,男性のみ,不可,可,不可,不可,作業着配布なし,・車通勤可 ・送迎利用可 ,15万円,20日間在籍　100％ 10日以上20日未満在籍　50％ 入社～10日未満在籍　支払なし,,随時,随時,OSでの面接～入社まで 約10日～15日,4～5日程度,随時問い合わせ,北海道 小樽市
os22,OS,,北海道,(採)札幌,1081851,ユニシス,派遣,0名,医療針製造(組立・検査),北広島市輪厚工業団地1丁目2-8,"【必要資格】 ・特になし 【契約期間】 ・3ヶ月更新 【試用期間】 ・2週間( 1,200円／時) 【就業場所における受動喫煙防止措置】 ・禁煙（喫煙室なし）",①09:00～17:00　休憩60分,土日,"1,200円/時",16.8万円程度,勤務/20日 残業/5H 深夜/0H 休出/0H,202万円程度,日勤,北広島駅/福住駅,車 バス,上限3万円迄/月,-,寮対応無,44歳迄,男女可,不可,不可,不可,不可,特になし,最寄りバス亭：希望ヶ丘から徒歩10分(650m),10万円,20日間在籍　100％ 10日以上20日未満在籍　50％ 入社～10日未満在籍　支払なし,,随時,随時,OSでの面接～入社まで 約10日～15日,随時,随時問い合わせ,不明
os23,OS,,北海道,(採)札幌,951124,YKK　AP　北海道工場,派遣,0名,樹脂窓のアルミフレーム製造、フレームにテープ貼り、曲げ加工など,北海道石狩市新港南1丁目22-33,"【必要資格】 ・未経験OK 【契約期間】 ・3ヶ月更新 【試用期間】 ・2週間( 1,230円／時) 【就業場所における受動喫煙防止措置】 ・屋内禁煙（喫煙室あり）",①16:45～01:25　休憩60分 ②19:00～03:40　休憩60分 ③21:30～06:10　休憩60分,土日祝,"1,230円/時",21万円程度,勤務/20日 残業/5Ｈ 深夜/40Ｈ　休出/0Ｈ,252万円程度,①～⑤時間帯相談可 日勤のみ 夕勤のみなど,拓北駅,車,上限3万円迄/月,-,寮対応無,50歳迄,女性のみ,不可,不可,不可,不可,5L迄,・車通勤可、未経験可,10万円,20日間在籍　100％ 10日以上20日未満在籍　50％ 入社～10日未満在籍　支払なし,,随時,随時,OSでの面接～入社まで 約10日～15日,4～5日程度,随時問い合わせ,北海道 石狩市
os24,OS,,北海道,(採)札幌,937945,有楽製菓,派遣,1名,チョコレートお菓子の検品・仕分け・包装作業,北海道札幌厚別区厚別東5条2丁目14番地238,"【必要資格】 ・特になし 【契約期間】 ・3ヶ月更新 【試用期間】 ・2週間( 1,070円／時) 【就業場所における受動喫煙防止措置】 ・全面禁煙",07:50～16:50　休憩70分,土日祝,"1,070円/時",17万円程度,勤務/20.25日 残業/10H 深夜0H 休出/0H ,204万円程度,日勤,JR・地下鉄新札幌駅,公共交通機関,上限3万円迄/月,-,寮対応無,60歳迄,男女可,不可,不可,応相談 ※同シフト不可,不可,4L迄,・車通勤不可,10万円,20日間在籍　100％ 10日以上20日未満在籍　50％ 入社～10日未満在籍　支払なし,,随時,随時,OSでの面接～入社まで 約10日～15日,3～4日程度,随時問い合わせ,北海道 札幌厚別区
os25,OS,,北海道,(採)札幌,8827,東芝ホクト電子,派遣,0名,電子部品(サーマルプリントヘッド)の製造。 メッキ加工作業、エッチング加工・研磨作業、作業機械への部品・部材投入及び取り出し作業,北海道旭川市南5条通23-1975,"【必要資格】 ・特になし 【契約期間】 ・3ヶ月更新 【試用期間】 ・2週間( 1,200円／時) 【就業場所における受動喫煙防止措置】 ・屋内禁煙（屋外に喫煙室あり）",08:00～17:00　休憩60分 22:00～7:00　休憩60分 の２交替,4勤2休 ※土日休みの工程もあり ※シフト選択不可,"1,200円/時",24.6万円程度,勤務/20日 残業/20H 深夜/60H 休出/8H,296万円程度,2交替,旭川駅,車、交通機関,上限3万円迄/月,5割補助,個室寮,40歳迄,男性のみ,不可,不可,不可,不可,4L迄,・車通勤可(企業駐車場　550円/月),10万円,20日間在籍　100％ 10日以上20日未満在籍　50％ 入社～10日未満在籍　支払なし,,随時,随時,OSでの面接～入社まで 約10日～15日,4～5日程度,随時問い合わせ,北海道 旭川市
os26,OS,,北海道,(採)札幌,1466846,ヤマザキ,派遣,2名,コンビニやスーパーで販売されているポテトサラダ等に使用する野菜の加工 じゃがいもの芽を取ったり、玉ねぎの下処理を行う作業,北海道旭川市近文町20丁目1120番23,"【必要資格】 ・特になし 【契約期間】 ・3ヶ月更新 【試用期間】 ・2週間( 1,100円／時) 【就業場所における受動喫煙防止措置】 ・屋内禁煙（喫煙室あり）",①05:00～14:00　休憩60分 ②05:30～14:30　休憩60分,日曜＋平日1日,"1,100円/時",20万円程度,勤務/22日 残業/5H 深夜/0H 休出/0H,240万円程度,日勤,近文駅,車、交通機関,上限3万円迄/月,5割補助,個室寮,55歳迄,男女可,不可,不可,不可,不可,4L迄,-,10万円,20日間在籍　100％ 10日以上20日未満在籍　50％ 入社～10日未満在籍　支払なし,,随時,随時,OSでの面接～入社まで 約10日～15日,3～4日程度,随時問い合わせ,北海道 旭川市
